Firm Name,CRD Number,AUM (Millions),Website
SYCALE ADVISORS (NY) LLC,168204,512.66,"http://sycale.com/, https://www.linkedin.com/company/sycale-advisors/about/"
"TENERE CAPITAL, LLC",312441,512.37,http://www.tenerecapital.com
PAINSWICK CAPITAL MANAGEMENT LP,333644,511.15,"https://www.painswickcapital.com/, https://www.linkedin.com/company/painswick-capital/"
ANTHEMIS CAPITAL MANAGERS (AMERICAS) LLC,323376,510.45,"HTTPS://WWW.TWITTER.COM/ANTHEMIS, HTTPS://WWW.INSTAGRAM.COM/ANTHEMISGROUP, HTTPS://WWW.YOUTUBE.COM/ANTHEMISGROUP, HTTP://WWW.ANTHEMIS.COM/, HTTPS://WWW.FACEBOOK.COM/ANTHEMISGROUP, HTTPS://WWW.PERISCOPE.TV/ANTHEMISGROUP, HTTPS://WWW.MEDIUM.COM/ANTHEMIS-INSIGHTS, HTTPS://WWW.SLIDESHARE.NET/ANTHEMISGROUP, HTTPS://WWW.LINKEDIN.COM/COMPANY-BETA/1342997/"
HURRICANE CAPITAL ADVISORS LLC,314749,510.39,"https://hurricanecapital.io/, https://www.linkedin.com/company/hurricanecap/"
NINE MASTS CAPITAL ADVISERS LLC,322775,508.74,HTTP://WWW.NINEMASTS.COM
POLUS CAPITAL MANAGEMENT (US) INC.,323283,508.38,"https://www.linkedin.com/company/polus-capital-management/, http://www.poluscapital.com"
"MEP CAPITAL MANAGEMENT, LLC",304299,507.3,"https://www.linkedin.com/company/mep-capital, https://www.mepcap.com, https://medium.com/mepcapital"
HYPERION CAPITAL ADVISORS LP,304230,505.93,N/A
LOOM CAPITAL MANAGEMENT LLC,174093,505.76,https://www.loomcapital.com/
TURNSPIRE CAPITAL PARTNERS LLC,311053,504.42,"https://www.turnspirecap.com/, https://www.linkedin.com/company/turnspire-capital-partners"
SPX CAPITAL MANAGEMENT LLC,297944,500.0,"https://www.linkedin.com/company/spx-capital/, https://www.spxcapital.com/"
"EMET CAPITAL MANAGEMENT, LLC",167047,499.25,HTTP://WWW.EMETCAP.COM
"EDGE FOCUS CAPITAL MANAGEMENT, LLC",309884,497.77,"https://www.linkedin.com/company/edge-focus-partners, http://www.edgefocuspartners.com"
BRANT POINT INVESTMENT MANAGEMENT LLC,157572,495.94,N/A
MATRIX PRIVATE CAPITAL GROUP LLC,285531,494.91,"HTTP://WWW.MATRIXPCG.COM, https://www.linkedin.com/company/matrixpcg/"
9YARDS CAPITAL MANAGEMENT LP,299727,494.89,"https://9yards.vc/, https://www.linkedin.com/company/9yards-capital/, https://twitter.com/9yardscapital/, https://medium.com/9yards/"
"FIREBIRD MANAGEMENT, LLC",136559,494.66,HTTP://WWW.FBIRD.COM
RIPOSTE CAPITAL LLC,322217,494.13,"https://ripostecapital.org/, https://ripostecapital.com/"
"JONES ROAD CAPITAL MANAGEMENT, L.P.",296822,493.49,HTTP://WWW.JONESROAD.COM
"CH GLOBAL CAPITAL MANAGEMENT, LLC",283431,490.57,"https://www.linkedin.com/company/ch-global-capital/, https://chglobalcapital.com/"
"DG CAPITAL MANAGEMENT, LLC",157258,489.38,"https://www.linkedin.com/company/dg-capital-management-llc/about/, HTTP://WWW.DGCAPITALMGMT.COM"
"A.W. JONES ADVISORS, LLC",161260,487.76,"HTTP://WWW.AWJONES.COM, HTTP://WWW.LINKEDIN.COM/COMPANY/A.W.JONES"
"TWO ROADS PARTNERS MANAGEMENT, LP",326470,487.59,"https://tworoads.com/, https://www.linkedin.com/company/two-roads-partners/mycompany/"
SETPOINT MANAGEMENT LLC,328702,483.46,https://setpointcapital.com
"PING CAPITAL MANAGEMENT, INC.",308358,482.18,"HTTP://WWW.PINGFINANCIAL.COM, https://www.linkedin.com/company/ping-capital-management-ltd/about/"
ONYXPOINT GLOBAL MANAGEMENT LP,288356,481.28,"HTTPS://WWW.LINKEDIN.COM/COMPANY/ONYXPOINTGLOBAL/, HTTP://WWW.ONYXPOINTGLOBAL.COM"
BELLTOWER PARTNERS LLC,333385,477.7,"https://belltowerpartners.com/, https://www.linkedin.com/company/belltower-partnersllc/"
"CLOSED LOOP PARTNERS, LLC",307079,477.15,"https://twitter.com/LoopFund, https://www.linkedin.com/company/closed-loop-partners, https://www.closedlooppartners.com"
"ENDICOTT CAPITAL MANAGEMENT, L.L.C.",308447,476.23,"https://www.endicottgp.com, https://linkedin.com/company/endicott-capital"
KAIN CAPITAL LLC,315669,476.01,"https://www.linkedin.com/company/kain-capital-llc, https://www.kaincap.com"
HORIKO CAPITAL MANAGEMENT LLC,126343,475.06,HTTP://WWW.HORIKOCAPITAL.COM/
"HUDSON HILL CAPITAL MANAGEMENT, LLC",316815,474.27,"https://www.hudsonhillcapital.com, https://www.linkedin.com/company/hudsonhillcapital/about/"
BROAD SKY PARTNERS LLC,317966,472.93,"https://www.broadskypartners.com/, https://www.linkedin.com/company/broad-sky-partners/"
PETER KIMMELMAN ASSET MANAGEMENT LP,133302,472.31,N/A
"CASTLE HARLAN, INC.",158106,471.11,"HTTPS://WWW.CASTLEHARLAN.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/CASTLE-HARLAN/, HTTPS://WWW.LINKEDIN.COM/COMPANY/BRANFORD-CASTLE-PARTNERS/, HTTPS://WWW.BRANFORDCASTLE.COM/"
CHESAPEAKE ASSET MANAGEMENT LLC,108994,468.79,"HTTP://WWW.CHESMAN.COM, https://www.linkedin.com/company/11865541"
"ROTHSCHILD CAPITAL PARTNERS, LLC",161688,467.8,"https://www.linkedin.com/company/rothschild-capital-partners/about/, https://www.rothcap.com"
NEW LEAF VENTURE PARTNERS LLC,163897,465.07,"HTTPS://WWW.LINKEDIN.COM/COMPANY/NEW-LEAF-VENTURE-PARTNERS/, HTTPS://TWITTER.COM/NLVPARTNERS, HTTP://WWW.NLVPARTNERS.COM"
"CANAM CAPITAL MANAGEMENT, LLC",298587,460.1,N/A
"CYTIUM INVESTMENT MANAGEMENT, LLC",327890,459.92,"https://www.cytiuminv.com, https://www.linkedin.com/company/cytium-investment-management/"
"FACT CAPITAL, L.P.",307860,458.24,"https://www.factcapital.info/, https://www.linkedin.com/company/factcapital"
GRAFINE CAPITAL HOLDINGS LLC,309490,457.61,"https://www.grafine.com/, https://www.linkedin.com/company/grafine-partners"
"SICART ASSOCIATES, LLC",285275,455.38,"HTTPS://WWW.LINKEDIN.COM/COMPANY/15210832/, HTTP://WWW.SICARTASSOCIATES.COM"
"MACHINE INVESTMENT GROUP, LP",315219,455.3,"https://machineinv.com/, https://www.linkedin.com/company/machine-investment-group"
"HARRADEN CIRCLE INVESTMENTS, LLC",310227,451.85,"http://harradencircle.com, https://www.linkedin.com/company/harraden-circle-investments-llc/"
"UNITED AMERICAN SECURITIES, INC.",21274,449.92,HTTPs://WWW.UASAM.COM
AISLING CAPITAL MANAGEMENT LP,269994,446.17,"HTTPS://WWW.AISLINGCAPITAL.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/AISLING-CAPITAL, HTTPS://TWITTER.COM/AISLINGLP"
"LDR CAPITAL MANAGEMENT, LLC",162329,444.69,"https://www.linkedin.com/company/ldr-capital-management-llc/about/, HTTP://WWW.LDRCAPITALMGMT.COM, HTTPS://LDRFUNDS.COM/"
"SAGE ADVISORS, LLC",148964,442.47,N/A
EAGLE'S VIEW CAPITAL MANAGEMENT LLC,160494,441.62,HTTP://WWW.EVHEDGE.COM
STONECOURT CAPITAL LP,286234,439.68,"https://www.linkedin.com/company/stonecourt-capital/about/, HTTP://WWW.STONECOURTLP.COM/"
VANTERRA CAPITAL LLC,167242,439.38,HTTP://WWW.VANTERRA.COM
THIRD NORTH CAPITAL LP,285348,439.22,N/A
STERLING INVESTORS LP,311318,437.35,"https://sterling-investors.com, https://www.linkedin.com/company/sterling-investors-lp/"
"RESERVOIR OPERATIONS, L.P.",156800,436.81,"HTTPS://LINKEDIN.COM/COMPANY/RESERVOIR-CAPITAL-GROUP, HTTP://RESERVOIRCAP.COM/"
SPACE CAPITAL MANAGEMENT LLC,287867,435.76,"https://www.instagram.com/thespacetalent/, https://www.linkedin.com/company/space-talent/, https://www.spacecapital.com, https://www.spacetalent.org, https://x.com/SpaceCapital, https://x.com/TheSpaceTalent, https://www.facebook.com/SpaceAngelsHoldings/, https://www.instagram.com/spacecapital/, https://www.instagram.com/spaceangels/, https://www.spaceangels.com/, https://x.com/SpaceAngels, https://www.linkedin.com/company/spaceangels, https://www.linkedin.com/company/spacecapital/, https://bsky.app/profile/spacecapital.com, https://bsky.app/profile/spacetalent.com, https://bsky.app/profile/spaceangels.com"
CLEARLIST CAPITAL LLC,329206,434.12,"https://www.linkedin.com/company/clearlist, https://www.clearlist.com/"
VOLTERRA TECHNOLOGIES LP,306817,433.74,https://www.linkedin.com/company/volterra-technologies/
DIKER MANAGEMENT LLC,119786,430.0,"HTTP://WWW.DIKERLLC.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/DIKER-MANAGEMENT"
"HVPF MANAGER II, LLC",318754,429.97,"https://hudsonvalleypropertygroup.com/, https://www.linkedin.com/company/hudson-valley-property-group/, https://twitter.com/HVPGHousing"
CIP FUND MANAGEMENT LLC,160700,425.56,HTTPS://WWW.CIP-CAPITAL.COM
"SWS CAPITAL MANAGEMENT, LLC",119043,425.54,"https://www.linkedin.com/company/sws-capital-management/, https://www.swscapitalmanagement.com/"
"BRUCKMANN, ROSSER, SHERRILL & CO., MANAGEMENT, L.P.",156881,423.4,https://brs.com/
CROSSBEAM VENTURE PARTNERS LLC,309047,423.09,"https://crossbeam.vc/, https://www.linkedin.com/company/crossbeamvc, https://moelisassetmanagement.com/crossbeam/"
"ADIT VENTURES MANAGEMENT, LLC",283262,419.85,https://www.aditventures.com/
"CALIGAN PARTNERS, LP",289887,419.04,"https://www.caliganpartners.com/, https://www.linkedin.com/company/caligan-partners-lp/"
FIO ADVISORS LP,300903,418.57,"https://www.foundationcredit.com/, https://www.linkedin.com/company/foundation-credit/"
"ARMOR ADVISORS, L.L.C.",157238,418.36,HTTP://WWW.ARMORCAPITAL.COM
SPARK INVESTMENT MANAGEMENT LLC,160815,417.69,"https://www.sparkim.com, https://www.linkedin.com/company/spark-investment-management-llc"
"VENTURE CAPITAL FUND OF AMERICA III, INC.",160941,415.9,"http://www.linkedin.com/company/vcfa-group, HTTP://WWW.VCFA.COM"
"APAX PARTNERS US, LLC",157110,415.67,"https://x.com/apax_partners?lang=en, HTTP://WWW.FACEBOOK.COM/PAGES/APAX-PARTNERS/552884631539155, HTTP://WWW.LINKEDIN.COM/COMPANY/APAX-PARTNERS, HTTP://WWW.APAX.US.COM"
"HILLCREST CREDIT AND INCOME FUND II MANAGER, LLC",288671,414.86,"HTTP://WWW.HILLCRESTFINANCELLC.COM, https://www.linkedin.com/company/hillcrest-finance-llc"
"PHOENICIAN RESOURCES FUND SPONSOR, LLC",304953,413.74,"https://www.phoenicianres.com/, https://www.linkedin.com/company/phoenician-resources/about/"
RIVERMONT CAPITAL MANAGEMENT LP,311888,413.48,N/A
"APPOMATTOX ADVISORY, INC",153731,410.82,"HTTPS://WWW.APPOMATTOX.COM, https://www.linkedin.com/company/appomattox-advisory-inc."
INTERMARKET CORPORATION,161833,410.3,HTTP://WWW.INTERMARKET.US/
"LION POINT CAPITAL, LP",174322,410.26,HTTP://WWW.LIONPOINT.COM
CCS PARTNERS LLC,329876,409.15,https://www.ccs-partners.com/
"MANIKAY PARTNERS, LLC",157272,408.59,HTTP://WWW.MANIKAYPARTNERS.COM
"FOCUSGROWTH ASSET MANAGEMENT, LP",309245,407.35,"https://focusgrowth.com/, https://www.linkedin.com/company/focusgrowth-asset-management-lp/about/"
"ALPHA PARTNERS MANAGEMENT, LLC",286141,404.7,HTTP://WWW.ALPHAPARTNERS.COM
"BRIDGE GROWTH PARTNERS, LLC",168682,403.91,"HTTP://WWW.BRIDGEGROWTHPARTNERS.COM, https://www.linkedin.com/company/bridge-growth-partners-llc"
MFG PARTNERS LLC,330388,402.87,"https://mfgpartners.com/, https://www.linkedin.com/company/mfg-partners/"
OCO CAPITAL PARTNERS LP,299461,402.81,N/A
"HUMBLE MANAGEMENT, LLC",322006,402.45,"https://www.humblegrowth.com, https://www.linkedin.com/company/humblegrowth.com"
"COVARA CAPITAL, LLC",337515,402.0,"https://www.linkedin.com/company/covaracapital/, https://www.covaracapital.com/"
WELLSPRING CAPITAL MANAGEMENT LLC,161184,401.7,"https://revelarcapital.com/, https://www.linkedin.com/company/wellspring-capital-management-llc/, https://www.linkedin.com/company/revelar-capital-llc"
"VALUEQUEST ADVISERS, LLC",337781,400.83,N/A
"DERBY COPELAND MANAGEMENT GROUP, LLC",321102,400.46,"https://linkedin.com/company/derby-copeland-capital/, https://www.derbycopeland.com/, https://www.instagram.com/derbycopelandcapital/"
"MOMENTUM ADVISORS, LLC",159574,400.14,"https://TWITTER.COM/MOMENTUMADVICE, HTTP://WWW.MOMENTUM-ADVISORS.COM, https://www.instagram.com/themomentumadvisors"
"SEAPORT CAPITAL, LLC",160734,395.65,"HTTP://WWW.SEAPORTCAPITAL.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/SEAPORT-CAPITAL/"
"DYNASTY EQUITY PARTNERS MANAGEMENT, LLC",327607,391.53,"https://www.linkedin.com/company/dynasty-equity, https://www.dynastyequity.com"
"CARL MARKS MANAGEMENT COMPANY, LLC",107695,391.06,HTTP://WWW.CARLMARKS.COM
16TH AMENDMENT ADVISORS LLC,150575,390.23,https://16rock.com/
"SOUNDCORE CAPITAL PARTNERS, LLC",288749,388.7,"https://www.linkedin.com/company/soundcore-capital-partners/, https://www.soundcorecap.com/"
COLLABORATIVE CAPITAL ADVISORS LLC,337588,387.84,https://www.collaborativecapitaladvisors.com
"TOLIS ADVISORS, LP",163345,387.32,"HTTPS://WWW.LINKEDIN.COM/COMPANY/TOLIS-ADVISORS-LP/, HTTP://WWW.TOLISADVISORS.COM"
"NEBARI PARTNERS, LLC",295859,386.96,http://NEBARI.com
VANTAGE INFRASTRUCTURE (USA) INC.,157458,385.49,"HTTPS://WWW.LINKEDIN.COM/COMPANY/VANTAGE-INFRASTRUCTURE, HTTPS://WWW.VANTAGEINFRA.COM"
NOMURA CAPITAL MANAGEMENT LLC,324417,384.12,"https://www.linkedin.com/company/nomura-capital-management/, https://nomuracapitalmanagement.com/"
"ATLANTIC INVESTMENT MANAGEMENT, INC",137698,383.99,"HTTP://WWW.ATLANTICINVESTMENT.NET, HTTPS://WWW.LINKEDIN.COM"
CP CAPITAL (US) PARTNERS LP,158979,382.34,"https://www.linkedin.com/company/cp-capital-us/, https://cpcapitalus.com/"
"JUNIPER INVESTMENT COMPANY, LLC",170814,382.32,"HTTP://WWW.JUNIPERFUNDS.COM, https://www.linkedin.com/company/juniper-investment-company"
CAMBER PARTNERS MANAGEMENT LLC,309328,378.75,"http://www.camber.io, https://www.linkedin.com/company/camberpartners/"
PALM DRIVE CAPITAL LLC,284014,376.39,"https://x.com/PalmDriveVC, https://www.linkedin.com/company/palmdriveventures, http://www.palmdrive.vc"
"ALPHA LEONIS PARTNERS, LLC",314560,373.28,N/A
"BIRNAM OAK ADVISORS, LP",328180,372.45,"http://www.birnam-oak.com, https://www.linkedin.com/company/birnam-oak-advisors-lp/"
"OPTO INVESTMENT MANAGEMENT, LLC",316847,370.98,"https://www.linkedin.com/company/optoinvest, https://www.optoinvest.com/, https://twitter.com/optoinvest"
"LIONHEART STRATEGIC MANAGEMENT, LLC",314990,370.93,"HTTPS://WWW.LIONHEARTSTRATEGIC.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/LIONHEARTSTRATEGIC/"
"BVP MANAGEMENT COMPANY, LLC",307029,369.76,https://www.brandvelocitygroup.com
FORMULA GROWTH MANAGEMENT CORP,285005,369.24,"HTTP://WWW.FORMULAGROWTH.CA, HTTP://WWW.FORMULAGROWTH.COM"
HIDDEN LAKE ASSET MANAGEMENT LP,298209,367.92,N/A
SAVANNA INVESTMENT MANAGEMENT LLC,158770,366.69,"HTTP://WWW.SAVANNAFUND.COM, https://www.instagram.com/savannarealestate/?hl=en, https://www.linkedin.com/company/savanna-real-estate-fund"
"EPOCH CAPITAL, US, LLC",315254,366.07,N/A
"MORGAN RIO CAPITAL MANAGEMENT, LLC",162500,361.76,N/A
"UNIVERSITY VENTURES FUNDS MANAGEMENT, LLC",163575,360.34,"HTTPS://WWW.LINKEDIN.COM/COMPANY/UNIVERSITY-VENTURES/, HTTP://WWW.UNIVERSITYVENTURES.COM, HTTPS://WWW.FACEBOOK.COM/PG/UNIVERSITYVENTURESFUND/ABOUT/?REF=PAGE_INTERNAL, HTTPS://TWITTER.COM/UNIVENTURESFUND?LANG=EN"
EDEN CAPITAL MANAGEMENT LLC,290418,359.6,"https://www.linkedin.com/company/eden-capital/, HTTP://WWW.EDENCP.COM/"
"VEDANTA MANAGEMENT, L.P.",160685,358.64,"HTTP://WWW.VEDANTACAPITAL.COM, https://www.linkedin.com/company/vedacap"
"BLUE SQUARE ASSET MANAGEMENT, LLC",296802,357.72,"https://www.linkedin.com/company/bluesquarewealth/, HTTPS://WWW.BLUESQUAREWEALTH.COM"
22V ASSET MANAGEMENT LLC,323898,357.3,"https://www.linkedin.com/company/22v-asset-management/about/, http://www.22VAM.com"
"PAPAMARKOU WELLNER ASSET MANAGEMENT, INC.",131796,357.02,"HTTP://WWW.PAPAMARKOU.COM, https://www.linkedin.com/company/papamarkou-wellner-perkin/"
"TENCORE PARTNERS, LP",299327,355.9,"http://www.tencorepartners.com, https://www.linkedin.com/company/tencore-partners-l-p/"
BRIDGEPORT MANAGEMENT COMPANY LLC,322871,355.77,"https://bgptpartners.com, https://www.linkedin.com/company/bridgeportpartners/"
"ACORN CAPITAL ADVISORS, LLC",304164,355.3,https://www.acornbioventures.com
NIGHT SQUARED LP,333933,355.18,https://nightsquared.com/
HARKNESS CAPITAL MANAGEMENT LLC,289882,353.95,HTTP://WWW.HARKNESSCAPITAL.COM/
MAKARORA MANAGEMENT LP,329275,353.34,"https://makarora-lp.com/, https://www.linkedin.com/company/makarora-lp"
GUMSHOE CAPITAL MANAGEMENT LLC,328451,352.05,"https://gumshoecap.com, https://www.linkedin.com/company/gumshoe-capital-management/about/"
PERELLA WEINBERG PARTNERS CAPITAL MANAGEMENT LP,143598,351.29,N/A
SCOGGIN MANAGEMENT LP,157587,350.08,N/A
"AULDBRASS PARTNERS, LP",161360,348.93,"HTTP://WWW.AULDBRASSPARTNERS.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/AULDBRASS-PARTNERS"
"HEALTH CATALYST CAPITAL MANAGEMENT, LLC",282602,348.01,"HTTPS://WWW.LINKEDIN.COM/COMPANY/HEALTH-CATALYST-CAPITAL-MANAGEMENT-LLC/, HTTP://WWW.HEALTHCATALYSTCAPITAL.COM/"
"BLUESTONE EQUITY PARTNERS, L.P.",323332,347.83,"https://www.facebook.com/bluestoneequity, https://www.instagram.com/bluestoneequity/, http://bluestoneequity.com/, https://www.linkedin.com/company/bluestoneequity/about/, https://twitter.com/bluestoneequity"
"MELKONIAN CAPITAL MANAGEMENT, LLC",162543,347.75,"https://www.linkedin.com/company/melkonian-capital-management-llc/, HTTP://WWW.MELKONIANCAPITAL.COM"
"SAMJO MANAGEMENT, LLC",326808,347.1,N/A
"PLACEHOLDER MANAGEMENT, LLC",292362,345.43,"https://twitter.com/placeholdervc?lang=en, HTTPS://PLACEHOLDER.VC"
"NEXT MANAGEMENT ADVISORS, LLC",324644,345.37,"http://www.next-investors.com, https://www.linkedin.com/company/next-investors/"
"EYRE STREET CAPITAL, LLC",333970,344.92,http://www.eyrestreet.com
HIVEMIND CAPITAL PARTNERS LLC,319077,340.98,"https://www.hivemindcapital.co/, https://www.linkedin.com/company/hivemindcapital, https://x.com/HivemindCap"
DURATIONAL CAPITAL MANAGEMENT LP,291371,340.06,"https://www.linkedin.com/company/durational-capital-management/, HTTP://WWW.DURATIONAL.COM"
"GARNET EQUITY CAPITAL HOLDINGS, INC.",161948,339.47,N/A
TWIN POINT CAPITAL LLC,281731,335.43,HTTP://WWW.TWINPOINTCAP.COM
"SECOND ALPHA PARTNERS, LLC",282418,334.87,"HTTP://SECONDALPHA.COM, https://www.linkedin.com/company/second-alpha/about/"
"NOKOTA MANAGEMENT, LP",159004,332.02,N/A
"MASTERTON CAPITAL MANAGEMENT, LP",308917,330.64,"https://www.linkedin.com/company/masterton-capital-management-lp, https://www.mastertoncapital.com"
"JACOBS ASSET MANAGEMENT, LLC",156563,329.83,"HTTPS://JAMPARTNERS.COM, https://www.linkedin.com/company/jacobs-asset-management/about/"
"MACQUARIE CAPITAL PARTNERS, LLC",293250,329.68,N/A
"RPM CAPITAL PARTNERS, LLC",160913,327.02,N/A
"CHALKSTREAM CAPITAL GROUP, L.P.",153734,327.01,"HTTPS://WWW.LINKEDIN.COM/COMPANY/CHALKSTREAMCAPITALGROUP, HTTPS://WWW.CHALKSTREAMCAPITAL.COM"
COALESCENCE PARTNERS INVESTMENT MANAGEMENT LP,285361,326.56,HTTP://WWW.CP-IM.COM
VENOR CAPITAL MANAGEMENT LP,158327,326.16,"https://www.linkedin.com/company/venor-capital-management/about/, HTTP://WWW.VENORCAPITAL.COM"
SILVERPEAK REAL ESTATE PARTNERS L.P.,156018,325.0,"HTTP://WWW.SILVERPEAK.COM/, https://www.linkedin.com/company/11232294"
"HERONETTA MANAGEMENT, L.P.",157307,324.06,HTTP://WWW.HERONMGMT.COM
"BLUE OPAL CAPITAL, LLC",315680,321.92,"https://www.blueopalcapital.com/, https://www.linkedin.com/company/blueopalcapital/"
OPTIMIST VENTURES LLC,337808,319.12,"https://www.linkedin.com/company/optimist-ventures, https://www.optimist.vc"
TRIBUNE INVESTMENT GROUP LP,329330,318.1,"https://tribunelp.com/, https://www.linkedin.com/company/tribune-investment-group-lp"
"HEARTWOOD FUNDS, LLC",136940,317.6,https://HEARTWOODFUNDS.COM
CHARTER OAK ADVISORS LP,328387,315.01,https://www.charteroakadvisors.com/
RIVERPARK CAPITAL MANAGEMENT LLC,150798,315.0,"https://www.riverparkfunds.com, https://riverparkvc.com"
OPUS INVESTMENT MANAGEMENT LLC,163262,314.54,https://opusfund.com
REPUBLIC DIGITAL FUND MANAGER LLC,330536,314.0,https://fpam.com/
DAVENTRY GROUP LP,306533,313.01,"https://www.daventrygroup.com/, https://www.linkedin.com/company/daventry-group-lp/"
FOOTPATH VENTURES LP,306142,311.46,https://www.linkedin.com/company/footpath-ventures/about/
BLUE OWL STRATEGIC EQUITY ADVISORS LLC,325958,310.05,"https://www.linkedin.com/company/blue-owl-capital, https://www.blueowl.com/, https://twitter.com/BlueOwlCapital"
"S SQUARED TECHNOLOGY, LLC",124441,306.47,HTTP://WWW.SSQUARED.COM
LIVELLO CAPITAL MANAGEMENT LP,305403,305.46,"https://livellocap.com/, https://www.linkedin.com/company/livello-capital-management/"
DECAGON ASSET MANAGEMENT (US) LP,322135,304.35,http://www.decagonam.com
"TABOR ASSET MANAGEMENT, LP",304666,303.18,"https://www.linkedin.com/company/tabor-asset-management, https://taborasset.com/"
OAKCLIFF PARTNERS LLC,162325,302.04,"https://www.linkedin.com/company/oakcliff-capital, http://www.oakcliffcapital.com/"
PLUM ISLAND PARTNERS LLC,337695,300.0,https://www.linkedin.com/company/plum-island-partners-llc/about/?viewAsMember=true
"FULL IN PARTNERS MANAGEMENT, LLC",309967,299.59,"https://www.fullin.com, https://www.linkedin.com/company/full-in-partners/"
"ONCE CAPITAL MANAGEMENT, LLC",289714,296.65,HTTP://ONCECAPITAL.COM/
SUPERSTATE ADVISERS LLC,336188,295.31,"https://superstate.co, https://twitter.com/superstatefunds, https://www.linkedin.com/company/superstate"
JRE ADVISORS LLC,318777,294.51,"https://www.linkedin.com/company/jre-partners, https://www.jre-partners.com/, https://www.instagram.com/jre_partners/"
"CRESTWOOD CAPITAL MANAGEMENT, L.P.",160807,293.1,"http://www.Crestwood.Fund, HTTP://WWW.CRESTWOODCLIENT.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/CRESTWOOD-CAPITAL-MANAGEMENT-L.P./, HTTP://WWW.CRESTWOODFUNDS.COM, HTTP://WWW.CRESTWOODCAP.COM, HTTP://WWW.CRESTWOODCAPITALPARTNERS.COM"
"GF CAPITAL ASSET ADVISORS, LLC",160144,290.65,"HTTP://WWW.GFCAP.COM, https://www.linkedin.com/company/gf-capital-management/about/"
INDAGO CAPITAL LLC,330343,289.41,"https://www.linkedin.com/company/indago-capital/, https://www.indagocap.com/"
"STELLA POINT CAPITAL, LP",290013,288.95,"HTTP://WWW.STELLAPOINT.COM/, https://www.linkedin.com/company/stella-point-capital/"
PALISADE AMERICAS MANAGEMENT LLC,322412,288.4,"https://palisadeinfrastructure.com/, https://www.linkedin.com/company/palisade-investment-partners/"
LUMOS CAPITAL GROUP LLC,306528,286.3,"https://www.linkedin.com/company/lumos-capital-group/, http://lumoscapitalgroup.com/"
CLEARFIELD CAPITAL MANAGEMENT LP,174981,280.51,"HTTP://WWW.CLEARFIELDCAP.COM/, https://www.linkedin.com/company/clearfield-capital-management/about/"
EDEN GLOBAL ADVISORS LLC,317761,279.18,"https://www.linkedin.com/company/eden-global-partners/about/, https://www.edengp.com/"
"ADVANTAGE ADVISERS MANAGEMENT, LLC",108180,277.67,N/A
"HALE CAPITAL MANAGEMENT, LP",157220,275.96,"HTTP://WWW.HALECAPITAL.COM, HTTP://WWW.HALECAPITALMANAGMENT.COM, HTTP://WWW.HALEFUNDMANAGEMENT.COM, https://twitter.com/HaleFunds, HTTPS://WWW.LINKEDIN.COM/COMPANY/HALE-CAPITAL-PARTNERS/, HTTP://WWW.HALEFUNDS.COM, HTTP://WWW.HALECAPITALPARTNERS.COM, HTTP://WWW.HALECAP.COM"
STILWELL VALUE LLC,160697,274.94,N/A
RITHM CAPITAL ADVISORS LLC,334244,274.12,"https://www.linkedin.com/company/rithm-capital-corp/, https://www.rithmcap.com"
ADALTA CAPITAL MANAGEMENT LLC,283771,273.93,HTTP://WWW.ADALTACAP.COM
"A.R.T. ADVISORS, LLC",161643,273.79,https://www.linkedin.com/company/a-r-t-advisors-llc
SELLARONDA GLOBAL MANAGEMENT LP,325400,273.2,"https://www.linkedin.com/company/sellarondaglobal/, https://www.sellarondaglobal.com/"
PHOENIX REALTY GROUP LLC,160249,272.51,"HTTP://WWW.PHOENIXRG.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/PHOENIX-REALTY-GROUP/"
"TWIN SECURITIES, INC.",158318,271.43,"HTTPS://WWW.TWINCAP.COM, https://www.linkedin.com/company/twin-capital-management-llc/about/"
GOODE PARTNERS LLC,161816,270.81,HTTP://WWW.GOODEPARTNERS.COM
"AC INVESTMENT MANAGEMENT, LLC",140443,270.6,"HTTP://WWW.ACIMFUNDS.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/AC-ENERGY/"
325 CAPITAL LLC,310762,270.54,"https://325capital.com/, https://www.linkedin.com/company/325-capital/"
"INNOVAHEALTH PARTNERS, LP",297788,269.02,"HTTP://WWW.INNOVAHEALTHPARTNERS.COM/, https://www.youtube.com/channel/UCONnr0g7-GW2ls2RQztxfvg, https://www.linkedin.com/company/innovahealthpartnerslp, HTTP://WWW.TWITTER.COM/INNOVAHP"
THE VISUALIZE GROUP LP,327531,262.24,"https://www.linkedin.com/company/the-visualize-group/about/, https://www.thevisualizegroup.com"
KINTAYL CAPITAL LP,331471,261.97,"https://www.linkedin.com/company/kintayl-capital/, https://kintayl.com/"
CORINTHIA MANAGEMENT (US) LLC,332982,261.4,http://www.corinthiagm.com
